iter	Passed	Remaining
0	0	74
1	1	68
2	2	67
3	2	64
4	3	63
5	4	63
6	4	62
7	5	61
8	6	60
9	6	59
10	7	58
11	7	58
12	8	57
13	9	57
14	10	56
15	10	55
16	11	55
17	11	54
18	12	53
19	13	53
20	14	52
21	14	52
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	48
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	24	45
35	25	45
36	26	44
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	40
44	32	39
45	33	38
46	34	38
47	34	37
48	35	36
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	32
55	41	32
56	42	31
57	43	31
58	43	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
