iter	Passed	Remaining
0	0	902
1	1	949
2	2	880
3	3	845
4	4	841
5	5	858
6	6	884
7	7	904
8	8	890
9	8	872
10	9	859
11	10	847
12	11	849
13	12	862
14	13	859
15	13	850
16	14	844
17	15	837
18	16	829
19	17	835
20	18	854
21	19	857
22	20	855
23	20	849
24	21	847
25	22	851
26	23	863
27	24	862
28	25	859
29	26	854
30	27	848
31	28	848
32	29	857
33	30	866
34	31	864
35	32	862
36	32	858
37	33	857
38	34	856
39	35	857
40	36	853
41	37	851
42	38	851
43	39	851
44	40	853
45	41	854
46	42	853
47	42	849
48	43	846
49	44	844
50	45	845
51	46	844
52	47	842
53	48	841
54	48	839
55	49	837
56	50	836
57	51	836
58	52	841
59	53	840
60	54	838
61	55	836
62	56	837
63	57	837
64	58	834
65	58	834
66	59	833
67	60	830
68	61	828
69	62	827
70	63	829
71	64	827
72	64	824
73	65	822
74	66	820
75	67	819
76	68	818
77	69	819
78	70	818
79	70	814
80	71	813
81	72	812
82	72	806
83	74	807
84	74	805
85	75	802
86	76	800
87	76	797
88	77	795
89	78	795
90	79	794
91	80	792
92	81	791
93	81	790
94	82	788
95	83	789
96	84	789
97	85	788
98	86	787
99	87	786
100	88	787
101	89	789
102	90	791
103	91	790
104	92	787
105	93	785
106	93	783
107	94	782
108	96	787
109	97	785
110	97	782
111	98	780
112	99	778
113	99	776
114	100	774
115	101	774
116	102	772
117	103	770
118	103	768
119	104	765
120	105	764
121	105	762
122	106	761
123	107	760
124	108	758
125	109	756
126	109	754
127	110	752
128	111	753
129	112	753
130	113	752
131	114	751
132	114	749
133	115	747
134	116	746
135	117	745
136	118	744
137	118	742
138	119	741
139	120	739
140	121	740
141	122	738
142	123	737
143	124	738
144	125	737
145	125	735
146	126	733
147	127	732
148	128	731
149	129	731
150	129	730
151	130	729
152	131	728
153	132	727
154	133	726
155	134	725
156	134	724
157	135	723
158	136	722
159	137	720
160	137	717
161	138	716
162	139	715
163	140	715
164	141	715
165	142	713
166	142	712
167	143	711
168	144	710
169	145	709
170	146	709
171	147	709
172	148	707
173	148	706
174	149	705
175	150	705
176	151	704
177	152	704
178	153	703
179	153	701
180	154	699
181	155	697
182	156	697
183	157	696
184	157	695
185	158	694
186	159	692
187	159	690
188	160	689
189	161	689
190	162	688
191	163	687
192	164	686
193	164	684
194	165	682
195	166	681
196	166	679
197	167	679
198	168	677
199	169	676
200	169	675
201	170	673
202	171	672
203	171	670
204	172	670
205	173	669
206	174	667
207	175	666
208	175	665
209	176	663
210	177	662
211	177	660
212	178	659
213	179	658
214	180	657
215	180	656
216	181	655
217	182	653
218	182	651
219	183	650
220	184	649
221	185	648
222	185	647
223	186	646
224	187	644
225	187	643
226	188	642
227	189	641
228	190	640
229	191	639
230	191	638
231	192	637
232	193	636
233	194	635
234	195	635
235	196	634
236	197	635
237	198	634
238	199	633
239	199	632
240	200	632
241	201	631
242	202	630
243	203	629
244	204	628
245	204	627
246	205	626
247	206	626
248	207	625
249	208	624
250	209	623
251	209	623
252	210	621
253	211	621
254	212	621
255	213	620
256	214	619
257	215	618
258	215	617
259	216	615
260	217	614
261	217	613
262	218	613
263	219	612
264	220	611
265	221	610
266	222	609
267	222	608
268	223	608
269	224	607
270	225	607
271	226	606
272	227	604
273	227	603
274	228	603
275	229	602
276	230	601
277	231	601
278	232	600
279	233	599
280	234	599
281	235	598
282	235	597
283	236	596
284	237	595
285	238	594
286	238	593
287	239	592
288	240	591
289	241	591
290	242	590
291	243	589
292	244	588
293	244	588
294	245	587
295	246	586
296	247	585
297	248	585
298	249	584
299	249	583
300	250	582
